Dwater,Dwater,Dwater,Dwater,Dwater,Dwater,Dwater,Dwater,Dwater,Dwater,Dwater,Dwater,Dwater,Dwater,Dwater,Dwater,Dwater,Dwater,Dwater,Dwater
Dwater,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,Dwater
Dwater,rock,rock,rock,rock,rock,rock,rock,sword,boss,shield,rock,rock,rock,rock,rock,rock,rock,rock,Dwater
Dwater,rock,cliff,cliff,cliff,cliff,cliff,cliff,stairs,stairs,stairs,rock,rock,rock,rock,rock,rock,rock,rock,Dwater
Dwater,rock,cliff,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,Dwater
Dwater,rock,cliff,cliff,cliff,midboss2,cliff,cliff,cliff,cliff,cliff,cliff,cliff,cliff,cliff,cliff,cliff,midboss1,rock,Dwater
Dwater,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,cliff,rock,Dwater
Dwater,rock,cliff,cliff,midboss2,cliff,cliff,cliff,cliff,cliff,cliff,cliff,cliff,cliff,cliff,cliff,cliff,cliff,rock,Dwater
Dwater,rock,cliff,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,Dwater
Dwater,rock,cliff,cliff,cliff,cliff,midboss1,cliff,cliff,cliff,cliff,cliff,cliff,cliff,cliff,enemy2,cliff,cliff,rock,Dwater
Dwater,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,cliff,rock,Dwater
Dwater,rock,cliff,cliff,cliff,cliff,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,cliff,rock,Dwater
Dwater,rock,enemy1,rock,rock,cliff,cliff,enemy1,cliff,cliff,cliff,cliff,cliff,cliff,cliff,cliff,cliff,cliff,rock,Dwater
Dwater,rock,cliff,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,cliff,rock,cliff,rock,Dwater
Dwater,rock,cliff,cliff,cliff,rock,sword,shield,cliff,cliff,cliff,cliff,cliff,cliff,cliff,cliff,cliff,enemy2,rock,Dwater
Dwater,rock,rock,rock,cliff,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,Dwater
Dwater,rock,rock,rock,cliff,cliff,cliff,cliff,cliff,cliff,rock,rock,rock,rock,rock,rock,rock,rock,rock,Dwater
Dwater,rock,rock,rock,rock,rock,rock,rock,rock,cliff,rock,rock,rock,rock,rock,rock,rock,rock,rock,Dwater
Dwater,rock,sword,sword,sword,cliff,cliff,cliff,cliff,cliff,cliff,cliff,cliff,cliff,cliff,shield,shield,shield,rock,Dwater
Dwater,rock,cliff,cliff,cliff,cliff,cliff,cliff,cliff,cliff,cliff,cliff,cliff,cliff,cliff,cliff,cliff,cliff,rock,Dwater
